,-3000,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,total
whschief.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,275,290,276,308,313,156,7,1702
bulldogtribune.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,83,42,1,187
gwyawp.com,0,0,0,0,0,0,0,0,0,0,0,1,2,87,49,25,42,5,44,12,8,0,275
brhspartan.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,43,60,10,0,140
thebruinnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,17,0,59
ghspress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,182,295,127,60,0,686
lbssnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,244,172,102,40,11,17,2,664
mtviewmirror.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,520,660,492,346,165,74,0,2409
chantillynews.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,86,97,210,31,33,0,495
ahsrevolution.org,0,0,0,0,0,0,0,0,0,0,0,0,0,54,72,89,103,57,62,28,23,0,488
chsktr.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,58,37,12,150
cavalierchronicles.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,157,76,0,288
chathamhallcolumns.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
centrevillesentinel.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,96,137,108,0,363
thewesternhemisphere.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,110,104,86,102,65,64,18,589
galileomagnethighschool.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,61,26,30,49,16,3,0,242
gwhschatterbox.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,12
trojanmessenger.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,115,212,9,241,1,54,701
themustangtimes.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,26,31,38,10,7,122
valor-dictus.com,0,0,0,0,0,0,0,0,0,0,2,2,26,204,175,57,32,83,91,34,22,0,728
rebelroar.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,21,12,24,23,18,0,108
